广西卫视 HD,rtp://239.81.0.107:4056
广西综艺旅游 HD,rtp://239.81.0.214:4056
广西都市 HD,rtp://239.81.0.247:4056
广西新闻 HD,rtp://239.81.0.248:4056
广西影视 HD,rtp://239.81.0.250:4056
中国气象高清,rtp://239.81.1.100:4056
CCTV1 HD,rtp://239.81.0.102:4056
CCTV2 HD,rtp://239.81.0.115:4056
CCTV3 HD,rtp://239.81.0.231:4056
CCTV4 HD,rtp://239.81.0.96:4056
CCTV4K,rtp://239.81.0.196:4056
CCTV5 HD,rtp://239.81.0.232:4056
CCTV5+ HD,rtp://239.81.0.101:4056
CCTV6 HD,rtp://239.81.0.233:4056
CCTV7 HD,rtp://239.81.0.116:4056
CCTV8 HD,rtp://239.81.0.234:4056
CCTV9 HD,rtp://239.81.0.117:4056
CCTV10 HD,rtp://239.81.0.118:4056
CCTV11 HD,rtp://239.81.0.229:4056
CCTV12 HD,rtp://239.81.0.119:4056
CCTV13 HD,rtp://239.81.0.206:4056
CCTV14 HD,rtp://239.81.0.120:4056
CCTV15 HD,rtp://239.81.0.230:4056
CCTV16 HD,rtp://239.81.0.142:4056
CCTV16 UHD,rtp://239.81.0.144:4056
CCTV17 HD,rtp://239.81.0.228:4056
南宁新闻综合高清,rtp://239.81.0.241:4056
南宁都市生活高清,rtp://239.81.0.139:4056
南宁影视娱乐高清,rtp://239.81.0.140:4056
南宁公共高清,rtp://239.81.0.141:4056
北海综合高清,rtp://239.81.0.154:4056
贺州综合高清,rtp://239.81.0.163:4056
钦州综合高清,rtp://239.81.0.164:4056
河池综合高清,rtp://239.81.0.168:4056
贵港综合高清,rtp://239.81.0.172:4056
来宾综合高清,rtp://239.81.0.173:4056
桂林综合高清,rtp://239.81.0.174:4056
柳州综合高清,rtp://239.81.0.175:4056
梧州综合高清,rtp://239.81.0.176:4056
玉林综合高清,rtp://239.81.0.177:4056
百色综合高清,rtp://239.81.0.150:4056
防城港新闻综合高清,rtp://239.81.0.151:4056
深圳卫视 HD,rtp://239.81.0.103:4056
广东卫视 HD,rtp://239.81.0.104:4056
黑龙江卫视 HD,rtp://239.81.0.105:4056
江苏卫视 HD,rtp://239.81.0.106:4056
浙江卫视 HD,rtp://239.81.0.108:4056
北京卫视 HD,rtp://239.81.0.109:4056
湖南卫视 HD,rtp://239.81.0.110:4056
东方卫视 HD,rtp://239.81.0.111:4056
湖北卫视 HD,rtp://239.81.0.112:4056
天津卫视 HD,rtp://239.81.0.113:4056
山东卫视 HD,rtp://239.81.0.114:4056
四川卫视 HD,rtp://239.81.0.130:4056
吉林卫视 HD,rtp://239.81.0.143:4056
金鹰卡通 HD,rtp://239.81.0.148:4056
晴彩影视高清,rtp://239.81.0.152:4056
求索记录,rtp://239.81.0.153:4056
CETV-4 高清,rtp://239.81.0.188:4056
北京科教,rtp://239.81.0.195:4056
江西卫视 HD,rtp://239.81.0.204:4056
甘肃卫视 HD,rtp://239.81.0.207:4056
辽宁卫视 HD,rtp://239.81.0.210:4056
安徽卫视 HD,rtp://239.81.0.211:4056
东南卫视 HD,rtp://239.81.0.215:4056
CHC家庭影院 HD,rtp://239.81.0.238:4056
CHC动作电影 HD,rtp://239.81.0.239:4056
CHC高清电影 HD,rtp://239.81.0.240:4056
