重庆卫视超高清,rtp://225.0.4.187:7980
重庆新闻超高清,rtp://225.0.4.188:7980
重庆影视超高清,rtp://225.0.4.192:7980
重庆社会与法超高清,rtp://225.0.4.190:7980
重庆时尚生活超高清,rtp://225.0.4.196:7980
重庆娱乐超高清,rtp://225.0.4.194:7980
重庆新农村超高清,rtp://225.0.4.189:7980
重庆少儿超高清,rtp://225.0.4.191:7980
重庆科教超高清,rtp://225.0.4.193:7980
动作影院,rtp://225.0.4.170:7980
家庭影院,rtp://225.0.4.171:7980
星影,rtp://225.0.4.172:7980
CHC家庭影院,rtp://225.0.4.228:7980
CHC动作电影,rtp://225.0.4.229:7980
CHC高清电影,rtp://225.0.4.230:7980
精彩影视,rtp://225.0.4.231:7980
求索纪录,rtp://225.0.4.232:7980
茶高清,rtp://225.0.4.233:7980
